key,0,1,2,3,4,5,6,7,8,9
#,ContentType,Text[0],Text[1],Text[2],Text[3],Image,,UnlockQuest,,
int32,ContentType,Addon,Addon,Addon,Addon,Image,bit&01,Quest,uint32,uint32
0,"","","","","",,False,,0,0
1,"Dungeons","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,False,,0,0
2,"Trials","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,False,,0,0
3,"Raids","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Complete <Sheet(InstanceContent,IntegerParameter(5),3)/>.","",,False,,0,0
4,"PvP","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(3),0))><Clickable(<Sheet(InstanceContent,IntegerParameter(5),3)/>)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value> <If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","Participate in <Sheet(InstanceContent,IntegerParameter(5),3)/>.","Victory or defeat will determine the quantity of rewards.",,False,,0,0
5,"Deep Dungeons","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Complete floor <Value>IntegerParameter(12)</Value> of <SheetEn(PlaceName,2,<Sheet(TerritoryType,<Sheet(ContentFinderCondition,<Sheet(InstanceContent,IntegerParameter(5),8)/>,1)/>,5)/>,2,1)/>.","",,False,,0,0
6,"Ocean Fishing","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Score at least <If(GreaterThan(IntegerParameter(7),0))><Value>IntegerParameter(7)</Value><Else/><Value>IntegerParameter(8)</Value></If> points during a single <Sheet(ContentType,IntegerParameter(2),0)/> voyage.","","ui/icon/112000/112383.tex",False,"All the Fish in the Sea",0,0
7,"Triple Triad","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>","<If(GreaterThan(IntegerParameter(1),0))><Sheet(ContentType,IntegerParameter(2),0)/><Else/>???</If>
Lv. <Value>IntegerParameter(7)</Value>","Win a game of <Sheet(ContentType,IntegerParameter(2),0)/> against <SheetEn(ENpcResident,2,IntegerParameter(5),1,1)/> in <SheetEn(PlaceName,2,<Sheet(TerritoryType,<Sheet(Level,IntegerParameter(10),9)/>,5)/>,2,1)/>.","","ui/icon/111000/111044.tex",False,"Triple Triad Trial",0,0
