key,0,1,2,3,4
#,Member,Image{Name},BigImage{Old},BigImage{New},Class
int32,ENpcResident,Image,Image,Image,DawnMemberUIParam
0,,,,,""
1,"Alphinaud",,"ui/icon/072000/072621.tex","ui/icon/072000/072681.tex","Academician"
2,"Alisaie",,"ui/icon/072000/072622.tex","ui/icon/072000/072682.tex","Red Mage"
3,"Thancred",,"ui/icon/072000/072623.tex","ui/icon/072000/072683.tex","Gunbreaker"
4,"Minfilia",,"ui/icon/072000/072624.tex","ui/icon/072000/072684.tex","Oracle of Light"
5,"Urianger",,"ui/icon/072000/072625.tex","ui/icon/072000/072685.tex","Astrologian"
6,"Y'shtola",,"ui/icon/072000/072626.tex","ui/icon/072000/072686.tex","Sorceress"
7,"Ryne",,"ui/icon/072000/072627.tex","ui/icon/072000/072687.tex","Oracle of Light"
8,"Lyna",,"ui/icon/072000/072628.tex","ui/icon/072000/072688.tex","Guard Captain"
9,"Crystal Exarch",,"ui/icon/072000/072629.tex","ui/icon/072000/072689.tex","All-Rounder"
10,"Crystal Exarch",,"ui/icon/072000/072629.tex","ui/icon/072000/072689.tex","All-Rounder"
11,"Crystal Exarch",,"ui/icon/072000/072629.tex","ui/icon/072000/072689.tex","All-Rounder"
12,"",,"ui/icon/072000/072636.tex","ui/icon/072000/072696.tex","All-Rounder"
13,"",,"ui/icon/072000/072636.tex","ui/icon/072000/072696.tex","All-Rounder"
14,"",,"ui/icon/072000/072636.tex","ui/icon/072000/072696.tex","All-Rounder"
15,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
16,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
17,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
18,"Alphinaud",,"ui/icon/072000/072630.tex","ui/icon/072000/072690.tex","Academician"
19,"Alisaie",,"ui/icon/072000/072631.tex","ui/icon/072000/072691.tex","Red Mage"
20,"Alphinaud",,"ui/icon/072000/072638.tex","ui/icon/072000/072698.tex","Sage"
21,"Alisaie",,"ui/icon/072000/072639.tex","ui/icon/072000/072699.tex","Red Mage"
22,"Thancred",,"ui/icon/072000/072623.tex","ui/icon/072000/072683.tex","Gunbreaker"
23,"Urianger",,"ui/icon/072000/072625.tex","ui/icon/072000/072685.tex","Lithomancer"
24,"Urianger",,"ui/icon/072000/072625.tex","ui/icon/072000/072685.tex","Astrologian"
25,"Y'shtola",,"ui/icon/072000/072626.tex","ui/icon/072000/072686.tex","Sorceress"
26,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
27,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
28,"G'raha Tia",,"ui/icon/072000/072637.tex","ui/icon/072000/072697.tex","All-Rounder"
29,"Estinien",,"ui/icon/072000/072644.tex","ui/icon/072000/072704.tex","Dragoon"
30,"Venat",,"ui/icon/072000/072647.tex","ui/icon/072000/072707.tex","All-Rounder"
31,"Venat",,"ui/icon/072000/072647.tex","ui/icon/072000/072707.tex","All-Rounder"
32,"Venat",,"ui/icon/072000/072647.tex","ui/icon/072000/072707.tex","All-Rounder"
33,"Emet-Selch",,"ui/icon/072000/072648.tex","ui/icon/072000/072708.tex","The Third Seat"
34,"Emet-Selch",,"ui/icon/072000/072648.tex","ui/icon/072000/072708.tex","The Third Seat"
35,"Hythlodaeus",,"ui/icon/072000/072649.tex","ui/icon/072000/072709.tex","Soulseer"
